German,English
der, the (masculine)
die, the (feminine)
das, the (neuter)
und, and
sein, to be
haben, to have
ich, I
du, you (informal)
er, he
sie, she
es, it
wir, we
ihr, you (plural informal)
Sie, you (formal)
nicht, not
nein, no
ja, yes
vielleicht, maybe
hallo, hello
tschüss, bye
bitte, please
danke, thank you
entschuldigung, excuse me
wie, how
was, what
wer, who
wo, where
warum, why
wann, when
gut, good
schlecht, bad
schön, beautiful
groß, big
klein, small
alt, old
neu, new
jung, young
stark, strong
schwach, weak
teuer, expensive
billig, cheap
schwer, heavy
leicht, light
interessant, interesting
langweilig, boring
schnell, fast
langsam, slow
glücklich, happy
traurig, sad
freundlich, friendly
unfreundlich, unfriendly
hungrig, hungry
durstig, thirsty
müde, tired
gesund, healthy
krank, sick
Wasser, water
Brot, bread
Kaffee, coffee
Tee, tea
Apfel, apple
Banane, banana
Auto, car
Haus, house
Schule, school
Arbeit, work
Freund, friend (masculine)
Freundin, friend (feminine)
Hund, dog
Katze, cat
Vogel, bird
Fisch, fish
Stadt, city
Land, country
Straße, street
Park, park
Hotel, hotel
Restaurant, restaurant
Geld, money
Uhr, clock
Hand, hand
Fuß, foot
Kopf, head
Auge, eye
Mund, mouth
Ohr, ear
Nase, nose
Herz, heart
Zeit, time
Leben, life
Tag, day
Nacht, night
Morgen, morning
Abend, evening
Woche, week
Monat, month
Jahr, year
Frühling, spring
Sommer, summer
Winter, winter
